單字,翻譯,英文例句,中文例句
user,使用者,The software has over one million users.,這套軟體有超過百萬用戶。
usual,通常的,She left at her usual time.,她在平常的時間離開。
utility,公共設施、效用,The rent includes all utilities.,租金包含所有公共設施費用。
utilize,利用、運用,We should utilize our time wisely.,我們應該明智地利用時間。
utter,完全的、說出,It’s an utter failure.,這是完全的失敗。
vacancy,空缺,We have a job vacancy in accounting.,我們會計部門有職缺。
vacation,假期,He’s on vacation this week.,他這週在休假。
vaccination,疫苗接種,Employees must show proof of vaccination.,員工必須提供疫苗接種證明。
vacuum,吸塵器、真空,She used a vacuum to clean the carpet.,她用吸塵器清理地毯。
vague,模糊的,His explanation was vague.,他的解釋很模糊。
valid,有效的,Do you have a valid passport?,你有有效的護照嗎？
validate,驗證、確認,Please validate the data.,請驗證資料。
valuable,有價值的,This watch is very valuable.,這支手錶很有價值。
value,價值、估價,The value of the property has increased.,這個房產的價值上升了。
variable,變數、可變的,Weather is a variable in our planning.,天氣是我們規劃中的變數。
variation,變化,There is a slight variation in color.,顏色有些微差異。
variety,多樣性,The menu offers a wide variety of dishes.,菜單提供多樣菜色。
various,各種的,He has worked on various projects.,他參與過各種專案。
vast,巨大的,The company owns vast lands.,那家公司擁有大片土地。
vegetarian,素食者,We offer vegetarian meal options.,我們提供素食選項。
vehicle,交通工具,The vehicle is parked outside.,車輛停在外面。
vendor,供應商、攤販,We negotiated with the vendor.,我們和供應商進行了協商。
venture,風險投資、新創事業,She started a business venture.,她創辦了一家新創企業。
venue,場地,The venue can hold 500 people.,這場地可容納500人。
verbal,口頭的,They had a verbal agreement.,他們有個口頭協議。
verify,驗證,Please verify your identity.,請驗證你的身份。
versatile,多才多藝的、多功能的,This tool is very versatile.,這個工具功能非常多樣。
version,版本,This is the latest version.,這是最新版本。
vertical,垂直的,The graph shows vertical lines.,這張圖表顯示垂直線條。
vacant,空的、空缺的,The position is still vacant.,這個職位仍然空缺。
vacation,假期,She is on vacation this week.,她這週在放假。
vaccinate,接種疫苗,Employees must be vaccinated before returning.,員工返工前必須接種疫苗。
vague,模糊的,His answer was vague and confusing.,他的回答模糊又令人困惑。
valid,有效的,Do you have a valid driver's license?,你有有效的駕照嗎？
validate,驗證、使有效,Please validate your parking ticket.,請驗證你的停車票。
value,價值,We value honesty in the workplace.,我們重視職場上的誠信。
valuable,有價值的,This watch is very valuable.,這支手錶非常有價值。
valuation,估價,The property valuation was lower than expected.,房產估價低於預期。
vanish,消失,The file suddenly vanished from my desktop.,檔案突然從桌面上消失了。
variable,變數、可變的,Income is a variable factor in budgeting.,收入是預算中的變數。
variation,變化,There is little variation in price.,價格變化不大。
variety,多樣化,The store offers a variety of products.,這家店提供各式各樣的商品。
various,各種的,He tried various methods to solve the issue.,他嘗試了多種方法解決問題。
vast,龐大的,The company owns vast land overseas.,該公司在海外擁有大片土地。
vehicle,交通工具,The vehicle was parked in front of the office.,那輛車停在辦公室前面。
vendor,供應商,The vendor will deliver the goods tomorrow.,供應商將在明天送貨。
venture,風險事業、新創,They started a joint venture in Asia.,他們在亞洲展開了合資事業。
venue,場地,The concert will be held at a new venue.,音樂會將在新場地舉行。
verbal,口頭的,We had a verbal agreement.,我們有口頭協議。
verify,驗證,Can you verify your account information?,你可以驗證一下帳戶資訊嗎？
versatile,多才多藝的、多功能的,She’s a versatile employee.,她是一位多才多藝的員工。
version,版本,Please install the latest version of the app.,請安裝最新版本的應用程式。
vertical,垂直的,The vertical line represents sales.,垂直線代表銷售數據。
very,非常,This product is very popular.,這個產品非常受歡迎。
vessel,船隻、容器,The vessel carried goods across the sea.,這艘船運送貨物橫越海洋。
viable,可行的,We need a viable solution.,我們需要一個可行的方案。
vice,副的、副職,He is the vice president of sales.,他是業務副總裁。
victim,受害者,The company was a victim of fraud.,公司成為詐騙的受害者。
victory,勝利,Their team celebrated the victory.,他們的團隊慶祝了勝利。
video,影片,Watch the training video before starting.,開始前請觀看訓練影片。
view,看法、景觀,We’d like to hear your view on this matter.,我們想聽聽你對此事的看法。
viewer,觀眾,The program attracted millions of viewers.,這個節目吸引了數百萬觀眾。
vigor,活力、精力,She tackled the job with vigor.,她充滿活力地完成工作。
vigorous,積極的、精力旺盛的,The team took vigorous action.,團隊採取了積極的行動。
violate,違反,They violated the terms of the contract.,他們違反了合約條款。
violation,違規,The employee was warned for the violation.,那名員工因違規而被警告。
violence,暴力,The company does not tolerate violence.,公司不容忍任何暴力行為。
virtual,虛擬的,The meeting will be held in a virtual space.,會議將在虛擬空間中舉行。
virtually,幾乎、虛擬地,The project is virtually complete.,這個專案幾乎完成了。
virus,病毒,The file was infected with a virus.,這個檔案被病毒感染了。
visa,簽證,He applied for a work visa.,他申請了工作簽證。
visible,可見的,The changes are clearly visible.,變化清晰可見。
vision,視野、遠見,She has a strong vision for the future.,她對未來有清晰的遠見。
visit,拜訪、參觀,We visited the client’s office.,我們拜訪了客戶辦公室。
visitor,訪客,The receptionist welcomed the visitor.,接待員迎接了訪客。
visual,視覺的,We need more visual elements in the presentation.,我們的簡報需要更多視覺元素。
vital,重要的、關鍵的,Trust is vital in teamwork.,信任對團隊合作至關重要。
vocabulary,詞彙,Try to improve your business vocabulary.,試著提升你的商業詞彙量。
voice,聲音、表達,She raised her voice during the meeting.,她在會議中提高了聲音。
